YEAR ,Nestlings to banding age ,org,person_providing_data,,
2014,19,St. Albans Maine kestrel nest box project  ,Marek Plater,,
2015,35,St. Albans Maine kestrel nest box project  ,Marek Plater,,
2016,46,St. Albans Maine kestrel nest box project  ,Marek Plater,,
2017,49,St. Albans Maine kestrel nest box project  ,Marek Plater,,
2018,44,St. Albans Maine kestrel nest box project  ,Marek Plater,,
2019,34,St. Albans Maine kestrel nest box project  ,Marek Plater,,
2020,62,St. Albans Maine kestrel nest box project  ,Marek Plater,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
