Org,Year,Available boxes,Nested Box,Nested box,Successful,Fail,% Boxes Used,% Success,Chicks/ Successful ,chicks_per_box,chicks_banded
Natural Lands ,2015,40,3,3,2,1,8%,66.667%,4.5000,3.0000,9
Natural Lands ,2016,50,5,5,4,1,10%,80.000%,4.2500,3.4000,17
Natural Lands ,2017,50,17,17,16,1,34%,94.118%,4.3125,4.0588,69
Natural Lands ,2018,50,23,23,20,4,46%,86.957%,4.2000,3.6522,84
Natural Lands ,2019,100,21,21,18,3,21%,85.714%,3.8889,3.3333,70
Natural Lands ,2020,100,29,29,26,4,29%,89.655%,4.1538,3.7241,108
Friends of Hopewell Valley Open Space ,2019,40,8,8,3,5,20%,37.500%,4.0000,1.5000,12
Friends of Hopewell Valley Open Space ,2020,50,11,11,10,1,22%,90.909%,3.5000,3.1818,35
Raritan Headwaters,2019,18,2,2,2,0,11%,100.000%,5.0000,5.0000,10
Raritan Headwaters,2020,18,3,3,3,0,17%,100.000%,2.6667,2.7000,8
NJDEP - ENSP,2006,133,18,18,14,4,14%,77.8%,3.8571,NA,27
NJDEP - ENSP,2007,208,26,26,19,7,13%,73.1%,3.6316,2.6538,69
NJDEP - ENSP,2008,259,50,50,30,20,19%,60.0%,3.1667,1.9000,95
NJDEP - ENSP,2009,176,55,55,22,33,31%,40.0%,2.6364,1.0545,58
NJDEP - ENSP,2010,139,37,37,18,19,27%,48.6%,3.4444,1.6757,62
NJDEP - ENSP,2011,85,30,30,23,7,35%,76.7%,3.6957,2.8333,85
NJDEP - ENSP,2012,117,52,52,40,12,44%,76.9%,3.9500,3.0385,158
NJDEP - ENSP,2013,141,47,47,32,15,33%,68.1%,3.3750,2.2979,108
NJDEP - ENSP,2014,180,38,38,29,9,21%,76.3%,4.0690,3.1053,118
NJDEP - ENSP,2015,152,38,38,26,12,25%,68.4%,3.7692,2.5789,98
NJDEP - ENSP,2016,143,54,54,35,19,38%,64.8%,4.1143,2.6667,144
NJDEP - ENSP,2017,131,51,51,38,13,39%,74.5%,3.9211,2.9216,149
NJDEP - ENSP,2018,114,44,44,34,10,39%,77.3%,3.7353,2.8864,127
NJDEP - ENSP,2019,94,38,38,28,10,40%,73.7%,3.7143,2.7368,104
NJDEP - ENSP,2020,90,48,48,38,10,53%,79.2%,3.8421,3.0417,146
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
