nestbox_id,state,year,total_young,number_young_banded
Quirk,NJ,2018,5,5
Bitter,NJ,2018,5,5
Winkles,NJ,2018,5,5
Calumet,NJ,2018,5,5
CT Church,NJ,2018,4,4
CT West,NJ,2018,4,4
Clark1,NJ,2018,5,5
McHugh,NJ,2018,5,5
CT Sharp,NJ,2018,4,4
CT NW,NJ,2018,4,4
CT East,NJ,2018,5,5
English,NJ,2018,5,5
DEP East Lake,NJ,2018,4,4
Verechia,NJ,2018,4,4
Clark2,NJ,2018,3,3
Halter,NJ,2018,4,4
White,NJ,2018,3,3
Vasallo,NJ,2018,3,3
CTDEP,NJ,2018,3,3
Smith - Aldine,NJ,2018,5,5
Perozzi,NJ,2018,0,0
Melchert,NJ,2018,0,0
CT Kings,NJ,2018,0,0
Bitter,NJ,2019,2,2
Calumet,NJ,2019,3,3
Clark,NJ,2019,5,5
CTChurch,NJ,2019,5,5
CTDEP,NJ,2019,5,5
CTSharp,NJ,2019,4,4
CTWest,NJ,2019,5,5
D-ArrigoWest,NJ,2019,3,3
DEP-Lincoln,NJ,2019,4,4
ELDEP,NJ,2019,1,1
Halter,NJ,2019,5,5
Marx East,NJ,2019,0,0
MarxWest,NJ,2019,0,0
Melchert,NJ,2019,2,2
Pedrick,NJ,2019,3,3
Perozzi,NJ,2019,4,4
Smith,NJ,2019,5,5
Vassallo,NJ,2019,5,5
Villari,NJ,2019,4,4
Williams,NJ,2019,0,0
Winkel East,NJ,2019,5,5
Atkinson,NJ,2020,5,5
Calumet,NJ,2020,3,3
Chemours,NJ,2020,5,5
Clark,NJ,2020,4,4
Coles,NJ,2020,4,4
CTDEP,NJ,2020,3,3
CTEast,NJ,2020,0,0
CTMarlton,NJ,2020,0,0
CTRodeo,NJ,2020,5,5
CTSharp,NJ,2020,3,3
CTWest,NJ,2020,4,4
D'Arrigno NW,NJ,2020,1,1
D'Arrigno S,NJ,2020,5,5
Davis,NJ,2020,5,5
Freas,NJ,2020,5,5
Kinsley Landfill,NJ,2020,4,4
Myers rte 77,NJ,2020,3,3
Ostrum N,NJ,2020,5,5
Pedrick,NJ,2020,5,5
Perozzi,NJ,2020,4,4
Sickler,NJ,2020,5,5
Smith,NJ,2020,4,4
Vasallo,NJ,2020,4,4
Verechia,NJ,2020,5,5
Villari,NJ,2020,5,5
White,NJ,2020,3,3
Williams,NJ,2020,0,0
Winkel N,NJ,2020,4,4
Winkel S,NJ,2020,5,5
Atkinson,NJ,2021,4,4
Bitter,NJ,2021,3,3
Calumet,NJ,2021,0,0
Clark,NJ,2021,0,0
CTDEP,NJ,2021,2,2
CTEast,NJ,2021,4,4
CTSharp M,NJ,2021,0,0
CTWest,NJ,2021,3,3
Cunniff,NJ,2021,0,0
D'Arrigno E,NJ,2021,2,2
D'Arrigno NW,NJ,2021,4,4
D'Arrigno S,NJ,2021,5,5
Davis West,NJ,2021,4,4
Dawes,NJ,2021,1,1
Dickinson,NJ,2021,3,3
Freas,NJ,2021,5,5
Kinsley N,NJ,2021,5,5
Kinsley S,NJ,2021,3,3
NJDEP Harrison,NJ,2021,4,4
Ostrum,NJ,2021,5,5
Pedrick,NJ,2021,4,4
Perozzi,NJ,2021,5,5
Sickler,NJ,2021,4,4
Smith,NJ,2021,0,0
Van Cleave,NJ,2021,5,5
Vasallo,NJ,2021,5,5
Verechia,NJ,2021,5,5
Villari,NJ,2021,0,0
Williams,NJ,2021,5,5
Winkels E,NJ,2021,4,4
Atkinson,NJ,2022,2,2
Bowling,NJ,2022,5,5
Chemours S,NJ,2022,4,0
Chemours Helipad,NJ,2022,5,0
Clark,NJ,2022,5,5
CT Church,NJ,2022,5,5
CT DEP,NJ,2022,5,5
CT East,NJ,2022,4,4
CT FB02,NJ,2022,4,4
CT Sharp N,NJ,2022,4,4
CT West,NJ,2022,3,3
D'Arrigo East,NJ,2022,3,3
D'Arrigo NW,NJ,2022,5,5
Davis,NJ,2022,4,4
Dawes,NJ,2022,5,5
Dickinson,NJ,2022,5,5
Freas,NJ,2022,5,5
Kinsley N,NJ,2022,5,5
Kinsley S,NJ,2022,5,5
Marx North,NJ,2022,4,4
Myers rte 40,NJ,2022,4,4
NJDEP Harrisonville,NJ,2022,5,5
Ostrum,NJ,2022,2,2
Pedrick,NJ,2022,4,4
Perozzi,NJ,2022,4,4
Quirk South,NJ,2022,5,5
Sickler,NJ,2022,5,5
Smith,NJ,2022,4,4
Van Cleave,NJ,2022,5,5
Vassallo,NJ,2022,0,0
Verechia,NJ,2022,2,2
White,NJ,2022,5,5
Williams,NJ,2022,3,3
Wine,NJ,2022,4,4
Everhart south,PA,2018,5,5
Allebach west,PA,2018,3,3
Gordon east,PA,2018,3,3
Nardozzo,PA,2018,4,4
Sevick,PA,2018,5,5
Haughwout,PA,2018,2,2
Goss utility,PA,2018,4,4
Soder,PA,2018,5,5
Allebach East,PA,2018,2,2
Sheridan,PA,2018,5,5
Neer,PA,2018,5,5
Lash,PA,2018,5,5
Allebach hill,PA,2019,5,5
Bee Tree Berry,PA,2019,0,0
Brown,PA,2019,4,4
Buergin,PA,2019,5,5
Burd,PA,2019,5,5
Esh,PA,2019,0,0
Everhart South,PA,2019,5,5
Gordon East,PA,2019,5,5
Gordon West,PA,2019,5,5
Goss East,PA,2019,5,5
Goss West,PA,2019,5,5
Haughout East,PA,2019,5,5
Haughout West,PA,2019,5,5
Johnston East,PA,2019,5,5
Johnston West,PA,2019,5,5
Kimble,PA,2019,1,1
Lash,PA,2019,0,0
Lingle east,PA,2019,4,4
Martin North,PA,2019,5,5
Martin South,PA,2019,4,4
Nardozzo,PA,2019,5,5
Neer,PA,2019,2,2
Nelson East,PA,2019,1,1
Nelson West,PA,2019,5,5
Pasquinelli,PA,2019,3,3
PSU Swine Farm,PA,2019,4,4
Sheridan South,PA,2019,4,4
Soder,PA,2019,5,5
Stout,PA,2019,5,5
Wolfe East,PA,2019,4,4
Wolfe North,PA,2019,4,4
